,Provincia,Departamento,Dominio más frecuente en CC
171,Córdoba,SAN JUSTO,hotmail
172,Córdoba,UNION,gmail
173,Buenos Aires,VICENTE LOPEZ,gmail
174,Córdoba,CAPITAL,gmail
175,Santa Fe,LA CAPITAL,gmail
176,Buenos Aires,ESCOBAR,gmail
177,Córdoba,RIO SECO,fundacionyupanqui
178,Entre Ríos,GUALEGUAYCHU,yahoo
179,Tucumán,CAPITAL,gmail
180,Entre Ríos,FEDERACION,yahoo
181,Buenos Aires,PERGAMINO,hotmail
182,Misiones,IGUAZU,yahoo
183,Neuquén,LOS LAGOS,villalaangostura
184,Misiones,ELDORADO,hotmail
185,Buenos Aires,ESCOBAR,hotmail
186,Córdoba,MARCOS JUAREZ,live
187,Entre Ríos,FEDERACION,chajari
188,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",RIO GRANDE,riogrande
