,Provincia,Departamento,Dominio más frecuente en CC
70,Chaco,1§ DE MAYO,gmail
71,Formosa,FORMOSA,yahoo
72,San Luis,JUNIN,gmail
73,Buenos Aires,BRAGADO,gmail
74,Catamarca,ANDALGALA,yahoo
75,Buenos Aires,PILAR,serenartepilar
76,Misiones,CAPITAL,live
77,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",RIO GRANDE,hotmail
78,Córdoba,SANTA MARIA,fundacionholderlin
79,Buenos Aires,JOSE C. PAZ,gmail
80,Buenos Aires,LOMAS DE ZAMORA,gmail
81,Buenos Aires,LANUS,gmail
82,Córdoba,MINAS,hotmail
83,Salta,ORAN,gmail
84,Santa Cruz,GUER AIKE,hotmail
85,Ciudad Autónoma de Buenos Aires,CIUDAD AUTONOMA DE BUENOS AIRES,gmail
86,Entre Ríos,COLON,gmail
87,San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,gmail
88,Buenos Aires,CORONEL SUAREZ,gmail
89,Córdoba,COLON,gmail
90,Córdoba,MARCOS JUAREZ,gmail
91,Buenos Aires,SAN ISIDRO,gmail
92,Chubut,ESCALANTE,gmail
93,Salta,IRUYA,hotmail
94,Santa Fe,CONSTITUCION,gmail
95,Santa Fe,LAS COLONIAS,gmail
96,Buenos Aires,LOBOS,gmail
97,Mendoza,SAN RAFAEL,yahoo
98,Santa Fe,SAN LORENZO,gmail
99,Entre Ríos,COLON,hotmail
100,Santa Fe,LAS COLONIAS,hotmail
101,Córdoba,SANTA MARIA,hotmail
102,Córdoba,SANTA MARIA,gmail
103,Buenos Aires,BALCARCE,gmail
104,Salta,CAPITAL,gmail
105,Buenos Aires,GENERAL JUAN MADARIAGA,hotmail
106,Jujuy,DOCTOR MANUEL BELGRANO,gmail
107,Tucumán,CRUZ ALTA,gmail
108,Santa Fe,VERA,gmail
109,Buenos Aires,DOLORES,gmail
110,Buenos Aires,LA PLATA,gmail
111,San Luis,CORONEL PRINGLES,yahoo
112,Buenos Aires,OLAVARRIA,gmail
113,Mendoza,GUAYMALLEN,gmail
114,San Juan,RIVADAVIA,gmail
115,Jujuy,HUMAHUACA,arnet
116,Tucumán,YERBA BUENA,gmail
117,Buenos Aires,DOLORES,hotmail
118,Mendoza,SAN RAFAEL,gmail
119,Buenos Aires,AVELLANEDA,gmail
120,Catamarca,ANDALGALA,gmail
121,Corrientes,CAPITAL,gmail
122,Buenos Aires,NECOCHEA,gmail
123,Catamarca,CAPITAL,gmail
124,Córdoba,PUNILLA,gmail
125,La Pampa,MARACO,gmail
126,Buenos Aires,MALVINAS ARGENTINAS,hotmail
127,Buenos Aires,ALBERTI,alberti
128,Buenos Aires,ADOLFO ALSINA,adolfoalsina
129,Santa Fe,CASEROS,chabas
130,Córdoba,SAN JAVIER,gmail
131,Buenos Aires,TANDIL,gmail
132,Buenos Aires,ITUZAINGO,gmail
133,Buenos Aires,ESTEBAN ECHEVERRIA,gmail
134,Santa Fe,GENERAL LOPEZ,gmail
135,Misiones,OBERA,yahoo
136,Jujuy,TILCARA,gmail
137,Formosa,FORMOSA,gmail
138,Neuquén,CONFLUENCIA,ypf
139,Santa Fe,GENERAL LOPEZ,hotmail
140,Neuquén,CONFLUENCIA,laconrado
141,Neuquén,CONFLUENCIA,hotmail
142,Neuquén,CONFLUENCIA,fundacionfabricadeartistas
143,Neuquén,CONFLUENCIA,gmail
144,Catamarca,FRAY MAMERTO ESQUIU,hotmail
145,Buenos Aires,PUNTA INDIO,gmail
146,Córdoba,TERCERO ARRIBA,hotmail
147,Misiones,CAPITAL,gmail
148,Buenos Aires,SAAVEDRA,gmail
149,Entre Ríos,URUGUAY,yahoo
150,La Pampa,CAPITAL,gmail
151,Buenos Aires,MERCEDES,hotmail
152,Buenos Aires,RAUCH,gmail
153,Entre Ríos,CONCORDIA,hotmail
154,Salta,ROSARIO DE LERMA,hotmail
155,Santa Fe,ROSARIO,gmail
156,Santa Fe,GENERAL LOPEZ,venadotuerto
157,Buenos Aires,JUNIN,gmail
158,Buenos Aires,MERLO,gmail
159,Río Negro,ADOLFO ALSINA,gmail
160,Buenos Aires,MORON,gmail
161,Buenos Aires,TRES DE FEBRERO,gmail
162,Buenos Aires,TIGRE,gmail
163,Buenos Aires,MERCEDES,gmail
164,Entre Ríos,CONCORDIA,gmail
165,Buenos Aires,SAN FERNANDO,gmail
166,Santa Fe,LA CAPITAL,gmail
167,Buenos Aires,VICENTE LOPEZ,gmail
168,Córdoba,CAPITAL,gmail
169,Buenos Aires,PERGAMINO,hotmail
170,Misiones,IGUAZU,yahoo
171,Buenos Aires,ESCOBAR,gmail
172,Córdoba,RIO SECO,fundacionyupanqui
173,Entre Ríos,GUALEGUAYCHU,yahoo
174,Tucumán,CAPITAL,gmail
175,Entre Ríos,FEDERACION,yahoo
176,Córdoba,CRUZ DEL EJE,hotmail
177,Chubut,CUSHAMEN,gmail
178,Mendoza,GODOY CRUZ,yahoo
179,San Luis,GENERAL PEDERNERA,gmail
180,Buenos Aires,SAN PEDRO,yahoo
181,Córdoba,SAN JUSTO,hotmail
182,Córdoba,UNION,gmail
183,Neuquén,LOS LAGOS,villalaangostura
184,Misiones,ELDORADO,hotmail
185,Buenos Aires,ESCOBAR,hotmail
186,Córdoba,MARCOS JUAREZ,live
187,Entre Ríos,FEDERACION,chajari
188,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",RIO GRANDE,riogrande
